Identifiant;Addresse MAC;Formatted MAC;Addresse IP;No Série;Len;;
SW001;88908D531680;88:90:8D:53:16:80;;FCW1912C0NG;11;;
SW002;CC5A53682F80;CC:5A:53:68:2F:80;;FOC2124U0WZ;11;;
SW003;007686E2B900;00:76:86:E2:B9:00;;FOC2041X1H6;11;;
SW004;00562B4ED580;00:56:2B:4E:D5:80;;FOC2023X05Q;11;;
SW005;C80084D28C00;C8:00:84:D2:8C:00;;FOC1908U0FA;11;;
SW006;C80084D29A80;C8:00:84:D2:9A:80;;FCW1908C0DZ;11;;
SW007;00562B488400;00:56:2B:48:84:00;;FCW2023C0DW;11;;
SW008;c80084d29d00;C8:00:84:D2:9D:00;;FCW1908C0CD;11;;
SW009;6C9989C70200;6C:99:89:C7:02:00;;FOC1801X0J4;11;;
SW010;94D4695A6F80;94:D4:69:5A:6F:80;;FCW2025D0J9;11;;
SW011;00CCFCDB8980;00:CC:FC:DB:89:80;;FCW2009D013;11;;
SW012;C80084D2D180;C8:00:84:D2:D1:80;;FOC1908X0DS;11;;
SW013;00562B2B1D80;00:56:2B:2B:1D:80;;FOC2023U07H;11;;
SW014;C8008471C200;C8:00:84:71:C2:00;;FCW1908D0DC;11;;
SW015;C444A0F9F400;C4:44:A0:F9:F4:00;;FOC2124L116;11;;
SW016;88908d1b5e00;88:90:8D:1B:5E:00;;FOC1912X0NY;11;;
SW017;00562B4ED500;00:56:2B:4E:D5:00;;FOC2023X05P;11;;
SW018;00562B4F5680;00:56:2B:4F:56:80;;FOC2023X0AU;11;;
SW019;00562b8bb100;00:56:2B:8B:B1:00;;FOC2025U0R1;11;;
SW020;00CCFCFCE280;00:CC:FC:FC:E2:80;;FOC2008X0FM;11;;
SW021;00562B483800;00:56:2B:48:38:00;;FCW2023F05T;11;;
SW022;00562B486980;00:56:2B:48:69:80;;FCW2023F078;11;;
SW023;84b517d28500;84:B5:17:D2:85:00;;FOC1926U1HT;11;;
SW024;00CAE552D800;00:CA:E5:52:D8:00;;FOC2009X01V;11;;
